tax_group,tax_gs,tax_eco_food,tax_lh_amd,tax_lh_licm,tax_lh_ri#/d,test_exposure_type,test_media_type,result_effect,media_ph_mean,media_temperature_mean,result_conc1_mean_binary,result_conc1_type,result_obs_duration_mean,result_conc1_mean,result_conc1_mean_log,chem_name
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,24.5,0,F,24,1.79,0.252853030979893,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,24.5,0,F,48,1.4,0.146128035678238,Fenitrothion
fish,Acanthopagrus_schlegelii,C,3285,50,,NR,SW,MOR,,24.5,1,F,96,0.98,-0.0087739243075051,Fenitrothion
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,,17,1,A,96,0.07,-1.15490195998574,Pentachlorophenol
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,,17,1,A,96,0.08,-1.09691001300806,4-Nonylphenol
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,,17,0,A,96,1.81,0.257678574869185,Carbaryl
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,8.4,17,0,A,48,4.23,0.626340367375042,Carbaryl
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,8.4,17,1,A,48,0.16,-0.795880017344075,Pentachlorophenol
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,,,0,F,96,1.949,0.289811839117621,Carbaryl
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,,,1,F,96,0.081,-1.09151498112135,4-Nonylphenol
fish,Acipenser_brevirostrum,C,24460,143,274,S,FW,MOR,,,1,F,96,0.011,-1.95860731484178,Pentachlorophenol
fish,Acipenser_persicus,C,14240,230,301.3,S,FW,MOR,7.4,22,0,F,24,44.82,1.65147185219904,Glyphosate-isopropylamine
fish,Acipenser_persicus,C,14240,230,301.3,S,FW,MOR,7.4,22,0,F,96,26.05,1.41580772763554,Glyphosate-isopropylamine
fish,Acipenser_persicus,C,14240,230,301.3,S,FW,MOR,7.4,22,0,F,48,34.18,1.53377205838472,Glyphosate-isopropylamine
fish,Acipenser_persicus,C,14240,230,301.3,S,FW,MOR,8.26,20,0,A,96,40,1.60205999132796,Glyphosate-isopropylamine
fish,Acipenser_persicus,C,14240,230,301.3,S,FW,MOR,8.26,20,0,A,24,70,1.84509804001426,Glyphosate-isopropylamine
fish,Acipenser_persicus,C,14240,230,301.3,S,FW,MOR,8.26,20,0,A,48,40,1.60205999132796,Glyphosate-isopropylamine
fish,Acipenser_stellatus,C,7665,220,246.5,S,FW,MOR,7.4,22,0,F,24,46.17,1.66435987455114,Glyphosate-isopropylamine
fish,Acipenser_stellatus,C,7665,220,246.5,S,FW,MOR,7.4,22,0,F,48,39.7,1.59879050676312,Glyphosate-isopropylamine
fish,Acipenser_stellatus,C,7665,220,246.5,S,FW,MOR,7.4,22,0,F,96,24.72,1.39304846641678,Glyphosate-isopropylamine
fish,Acipenser_stellatus,C,7665,220,246.5,S,FW,MOR,8.26,20,0,A,24,65,1.81291335664286,Glyphosate-isopropylamine
fish,Acipenser_stellatus,C,7665,220,246.5,S,FW,MOR,8.26,20,0,A,48,55,1.74036268949424,Glyphosate-isopropylamine
fish,Acipenser_stellatus,C,7665,220,246.5,S,FW,MOR,8.26,20,0,A,96,35,1.54406804435028,Glyphosate-isopropylamine
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,6.4,15,1,A,24,0.0055,-2.25963731050576,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,0,F,24,2.5,0.397940008672038,"4,5-Dichloroguaiacol"
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,1,F,24,0.01,-2,"4,5-Dichlorocatechol"
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,1,F,24,0.51,-0.292429823902064,"4,5-Dichlorocatechol"
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,0,F,96,2.24,0.350248018334163,"3,4,5,6-Tetrachloroguaiacol"
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,1,F,96,1e-05,-5,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,1,F,96,0.0025,-2.60205999132796,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,1,F,96,0.00074,-3.13076828026902,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,,15,1,F,24,0.41,-0.387216143280265,"Benzaldehyde, 2-chloro-4-hydroxy-5-methoxy-"
fish,Acipenser_transmontanus,C,39420,610,547.9,R,FW,MOR,,15,1,A,96,0.01,-2,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,R,FW,MOR,,15,1,A,96,0.1018,-0.99225222199926,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,R,FW,MOR,,15,1,A,96,0.1,-1,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,R,FW,MOR,,15,1,A,96,0.0584,-1.2335871528876,Didecyldimethylammonium chloride
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,7.2,14,0,F,96,124,2.09342168516224,Imidacloprid
fish,Acipenser_transmontanus,C,39420,610,547.9,S,FW,MOR,7.2,14,0,F,96,124,2.09342168516224,Imidacloprid
fish,Ameiurus_melas,O,3650,66,10.41,F,FW,MOR,7.7,15,1,A,96,0.00045,-3.34678748622466,Endrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,1.62,0.209515014542631,Fenthion
fish,Ameiurus_melas,O,3650,66,10.41,NR,FW,MOR,,21.1,0,F,96,180,2.25527250510331,"Endothall, diammonium salt"
fish,Ameiurus_melas,O,3650,66,10.41,NR,FW,MOR,,26.7,0,F,96,185,2.26717172840301,"Endothall, diammonium salt"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,A,24,0.1372,-0.862645888629267,Juglone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,A,48,0.0802,-1.09582563171584,Juglone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,A,96,0.0757,-1.12090412049993,Juglone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,12,1,F,96,0.042,-1.3767507096021,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,12,1,F,96,0.0235,-1.62893213772826,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,12,1,F,96,0.017,-1.76955107862173,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,12,1,F,96,0.02,-1.69897000433602,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,8,24,0,F,24,8.7,0.939519252618618,"2,4-D-Butotyl"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,8,24,0,F,24,8.8,0.944482672150169,"2,4-D-Butotyl"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,8,24,0,F,48,7.7,0.886490725172482,"2,4-D-Butotyl"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,8,24,0,F,48,7.1,0.851258348719075,"2,4-D-Butotyl"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.8,24,0,F,24,4.2,0.6232492903979,Fenoprop-butotyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,8,24,0,F,24,3.6,0.556302500767287,Fenoprop-butotyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,8,24,0,F,24,1.9,0.278753600952829,Fenoprop-butotyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,24,0.022,-1.65757731917779,Aldrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,96,0.019,-1.72124639904717,Aldrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,24,5.41,0.733197265106569,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,3.5,0.544068044350276,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,24,10,1,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,96,4.6,0.662757831681574,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.7,16,0,A,24,7.23,0.859138297294531,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.7,16,0,A,48,7.13,0.853089529851865,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.7,16,0,A,96,4.81,0.682145076373832,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,24,20,1.30102999566398,Carbaryl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,20,1.30102999566398,Carbaryl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,1,A,24,0.0368,-1.43415218132648,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,1,A,96,0.0048,-2.31875876262441,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,1,A,24,0.0261999999999999,-1.58169870868025,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,1,A,96,0.0050999999999999,-2.29242982390206,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,24,0.011,-1.95860731484178,Dieldrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,96,0.01,-2,Dieldrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,24,0.0015,-2.82390874094432,Endrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,96,0.00113,-2.94692155651658,Endrin
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,24,1.76,0.24551266781415,Fenthion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,1.35,0.130333768495006,Fenthion
fish,Ameiurus_melas,O,3650,66,10.41,F,FW,MOR,7.4,18,0,A,24,3,0.477121254719662,Fenthion
fish,Ameiurus_melas,O,3650,66,10.41,F,FW,MOR,7.4,18,0,A,96,1.5,0.176091259055681,Fenthion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,24,0.086,-1.06550154875643,Heptachlor
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,24,1,A,96,0.063,-1.20065945054642,Heptachlor
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,1,A,24,0.081,-1.09151498112135,Lindane
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,1,A,96,0.064,-1.19382002601611,Lindane
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,24,21,1.32221929473392,Malathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,12.9,1.11058971029925,Malathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,24,18.5,1.26717172840301,Malathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,96,11.7,1.06818586174616,Malathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,24,7.91,0.898176483497677,Methyl parathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,6.64,0.822168079368018,Methyl parathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,24,21,1.32221929473392,Mexacarbate
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.1,18,0,A,96,16.7,1.22271647114758,Mexacarbate
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,24,12.1,1.08278537031645,Mexacarbate
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,96,10.5,1.02118929906994,Mexacarbate
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,0,A,24,1.26,0.100370545117563,Trichlorfon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,18,1,A,96,0.515,-0.288192770958809,Trichlorfon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,24,0.665,-0.177178354696895,Rotenone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,96,0.389,-0.410050398674292,Rotenone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,24,0.0054,-2.26760624017703,"3-tert-Butyl-2',5-dichloro-4'-nitro-2,6-cresotanilide"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,96,0.0035,-2.45593195564972,"3-tert-Butyl-2',5-dichloro-4'-nitro-2,6-cresotanilide"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,48,0.328,-0.484126156288321,3'-Chloro-3-nitrosalicylanilide
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,96,0.26,-0.585026652029182,3'-Chloro-3-nitrosalicylanilide
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,24,0.44,-0.356547323513813,3'-Chloro-3-nitrosalicylanilide
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,48,0.255,-0.593459819566045,3'-Chloro-3-nitrosalicylanilide
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,96,0.255,-0.593459819566045,3'-Chloro-3-nitrosalicylanilide
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.4,12,1,F,24,0.38,-0.42021640338319,3'-Chloro-3-nitrosalicylanilide
fish,Ameiurus_melas,O,3650,66,10.41,NR,FW,MOR,,12,1,A,24,0.104,-0.98296666070122,Clonitralid
fish,Ameiurus_melas,O,3650,66,10.41,NR,FW,MOR,,12,1,A,48,0.096,-1.01772876696043,Clonitralid
fish,Ameiurus_melas,O,3650,66,10.41,NR,FW,MOR,,12,1,A,96,0.088,-1.05551732784983,Clonitralid
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,1,A,96,0.185,-0.732828271596986,Isazophos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,1,F,96,0.173,-0.761953896871205,Rotenone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,1,F,96,0.26,-0.585026652029182,Rotenone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,1,A,96,0.02,-1.69897000433602,Profenofos
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,1,A,96,0.088,-1.05551732784983,Clonitralid
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,0,A,96,3.5,0.544068044350276,Azinphos-methyl
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,,,0,A,96,5.65,0.752048447819439,Piperonyl butoxide
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,7.6,0.880813592280791,Atrazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,8,0.903089986991944,Atrazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,35,1.54406804435028,Atrazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,80,1.90308998699194,Simazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,65,1.81291335664286,Simazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,7,0.845098040014257,Terbuthylazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,8,0.903089986991944,Terbuthylazine
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,25,1.39794000867204,Ametryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,25,1.39794000867204,Ametryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,8,0.903089986991944,Simetryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,8,0.903089986991944,Simetryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,3,0.477121254719662,Terbutryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,3,0.477121254719662,Terbutryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,15,1.17609125905568,Methoprotryne
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,13,1.11394335230684,Methoprotryne
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,8,0.903089986991944,Dimethametryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,6,0.778151250383644,Dimethametryn
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,20,1.30102999566398,Prometon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,30,1.47712125471966,Prometon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,25,1.39794000867204,Secbumeton
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,28,1.44715803134222,Secbumeton
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,10,1,Terbumeton
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,15,1.17609125905568,Terbumeton
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,60,1.77815125038364,Fluometuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,55,1.74036268949424,Fluometuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,60,1.77815125038364,Fluometuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,44,1.64345267648619,Fluometuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,1,F,48,0.4,-0.397940008672038,Chloroxuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,1,F,96,0.27,-0.568636235841013,Chloroxuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,9,0.954242509439325,Chlorbromuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,15,1.17609125905568,Chlorbromuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,45,1.65321251377534,Metobromuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,40,1.60205999132796,Metobromuron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,60,1.77815125038364,Chlorotoluron
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,1,F,48,0.5,-0.301029995663981,Bromofenoxim
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,1,F,96,0.37,-0.431798275933005,Bromofenoxim
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,5.6,0.748188027006201,Piperophos
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,8,0.903089986991944,Piperophos
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,360,2.55630250076729,Phosphamidon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,360,2.55630250076729,Phosphamidon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,8,0.903089986991944,Diazinon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,8,0.903089986991944,Diazinon
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,30,1.47712125471966,Methidathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,30,1.47712125471966,Methidathion
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,1,F,96,0.038,-1.42021640338319,"p,p'-DDT"
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,48,16000,4.20411998265593,Acetone
fish,Ameiurus_melas,O,3650,66,10.41,S,FW,MOR,7.2,20,0,F,96,16000,4.20411998265593,Acetone
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,F,FW,MOR,,18,0,A,96,100,2,Aminocarb
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,NR,FW,MOR,,17,1,A,24,0.071,-1.14874165128092,Clonitralid
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,NR,FW,MOR,,17,1,A,48,0.071,-1.14874165128092,Clonitralid
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,NR,FW,MOR,,17,1,A,96,0.056,-1.2518119729938,Clonitralid
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,S,FW,MOR,,,0,F,96,57,1.75587485567249,Monuron
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,S,FW,MOR,,,1,A,96,0.056,-1.2518119729938,Clonitralid
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,S,FW,MOR,,,0,F,48,2.3,0.361727836017593,Dicofol
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,F,FW,MOR,,,0,A,96,34,1.53147891704226,Molinate
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,S,FW,MOR,,,0,F,48,22.1,1.34439227368511,Propanil
fish,Ameiurus_nebulosus,C_H,3285,55,37.81,S,FW,MOR,,,1,F,96,0.042,-1.3767507096021,Bromoxynil octanoate
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.8,15,1,A,96,0.038,-1.42021640338319,Endosulfan
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.8,22,1,A,96,0.041,-1.38721614328026,Endosulfan
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.8,29,1,A,96,0.02,-1.69897000433602,Endosulfan
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,8.4,15,1,A,96,0.039,-1.4089353929735,Endosulfan
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,8.4,22,1,A,96,0.046,-1.33724216831843,Endosulfan
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,8.4,29,1,A,96,0.026,-1.58502665202918,Endosulfan
fish,Anguilla_anguilla,C,20080,133,639.3,F,FW,MOR,,,0,A,96,1.4,0.146128035678238,"2,3,5,6-Tetrachloronitrobenzene"
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.9,22,1,A,24,0.16,-0.795880017344075,Diazinon
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.9,22,1,A,48,0.11,-0.958607314841775,Diazinon
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.9,22,1,A,72,0.09,-1.04575749056068,Diazinon
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.9,22,1,A,96,0.086,-1.06550154875643,Diazinon
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.8,15,1,A,96,0.32,-0.494850021680094,Lindane
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.8,22,1,A,96,0.67,-0.173925197299174,Lindane
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,7.8,29,1,A,96,0.45,-0.346787486224656,Lindane
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,8.4,15,1,A,96,0.54,-0.267606240177031,Lindane
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,8.4,22,1,A,96,0.68,-0.167491087293764,Lindane
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,8.4,29,1,A,96,0.55,-0.259637310505756,Lindane
fish,Anguilla_anguilla,C,20080,133,639.3,S,FW,MOR,,,1,A,24,0.16,-0.795880017344075,Diazinon
